sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
guma_1,,Default,simple,Гуми/Летни Гуми,base,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 1,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Лято</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: да</li>
<li>Индекс на Натоварване A: 100 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: B</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 45</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: да</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Ширина: 245 mm</li>
<li>Инчове: 18""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/136771"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/136771</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/gumi-kola.html"">кола</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",82.39,,,,guma-za-avtomobil-lanvigator-catchpower-plus-245-45zr18-1,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 1,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 1,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 1,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,"7/18/23, 5:07 AM","7/23/23, 12:12 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_1.jpg,,,,,,,,,,,,,,
guma_2,,Default,simple,"Гуми,Гуми/Зимни гуми",base,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 1,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Зима</li>
<li>Ширина: 225 mm</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: Не</li>
<li>Индекс на Натоварване A: 96 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: A</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 60</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: Не</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Инчове: 15""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/490955"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/490955</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/chasti-i-rezervni-chasti-za-avtomobili.html"">части и резервни части за автомобили</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",122.38,,,,guma-za-avtomobil-uniroyal-rainexpert-3-225-60yr15-1,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 1,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 1,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 1,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,"7/23/23, 12:40 AM","7/23/23, 12:42 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_2.jpg,,,,,,,,,,,,,,
guma_3,,Default,simple,Гуми/Летни Гуми,base,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 2,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Лято</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: да</li>
<li>Индекс на Натоварване A: 100 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: B</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 45</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: да</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Ширина: 245 mm</li>
<li>Инчове: 18""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/136771"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/136771</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/gumi-kola.html"">кола</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",82.39,,,,guma-za-avtomobil-lanvigator-catchpower-plus-245-45zr18-2,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 2,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 2,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 2,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,"7/18/23, 5:07 AM","7/23/23, 12:12 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_1.jpg,,,,,,,,,,,,,,
guma_4,,Default,simple,"Гуми,Гуми/Зимни гуми",base,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 2,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Зима</li>
<li>Ширина: 225 mm</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: Не</li>
<li>Индекс на Натоварване A: 96 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: A</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 60</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: Не</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Инчове: 15""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/490955"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/490955</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/chasti-i-rezervni-chasti-za-avtomobili.html"">части и резервни части за автомобили</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",122.38,,,,guma-za-avtomobil-uniroyal-rainexpert-3-225-60yr15-2,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 2,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 2,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 2,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,"7/23/23, 12:40 AM","7/23/23, 12:42 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_2.jpg,,,,,,,,,,,,,,
guma_5,,Default,simple,Гуми/Летни Гуми,base,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 3,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Лято</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: да</li>
<li>Индекс на Натоварване A: 100 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: B</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 45</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: да</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Ширина: 245 mm</li>
<li>Инчове: 18""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/136771"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/136771</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/gumi-kola.html"">кола</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",82.39,,,,guma-za-avtomobil-lanvigator-catchpower-plus-245-45zr18-3,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 3,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 3,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 3,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,"7/18/23, 5:07 AM","7/23/23, 12:12 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_1.jpg,,,,,,,,,,,,,,
guma_6,,Default,simple,"Гуми,Гуми/Зимни гуми",base,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 3,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Зима</li>
<li>Ширина: 225 mm</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: Не</li>
<li>Индекс на Натоварване A: 96 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: A</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 60</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: Не</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Инчове: 15""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/490955"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/490955</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/chasti-i-rezervni-chasti-za-avtomobili.html"">части и резервни части за автомобили</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",122.38,,,,guma-za-avtomobil-uniroyal-rainexpert-3-225-60yr15-3,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 3,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 3,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 3,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,"7/23/23, 12:40 AM","7/23/23, 12:42 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_2.jpg,,,,,,,,,,,,,,
guma_7,,Default,simple,Гуми/Летни Гуми,base,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 4,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Лято</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: да</li>
<li>Индекс на Натоварване A: 100 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: B</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 45</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: да</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Ширина: 245 mm</li>
<li>Инчове: 18""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/136771"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/136771</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/gumi-kola.html"">кола</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",82.39,,,,guma-za-avtomobil-lanvigator-catchpower-plus-245-45zr18-4,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 4,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 4,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 4,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,"7/18/23, 5:07 AM","7/23/23, 12:12 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_1.jpg,,,,,,,,,,,,,,
guma_8,,Default,simple,"Гуми,Гуми/Зимни гуми",base,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 4,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Зима</li>
<li>Ширина: 225 mm</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: Не</li>
<li>Индекс на Натоварване A: 96 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: A</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 60</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: Не</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Инчове: 15""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/490955"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/490955</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/chasti-i-rezervni-chasti-za-avtomobili.html"">части и резервни части за автомобили</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",122.38,,,,guma-za-avtomobil-uniroyal-rainexpert-3-225-60yr15-4,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 4,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 4,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 4,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,"7/23/23, 12:40 AM","7/23/23, 12:42 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_2.jpg,,,,,,,,,,,,,,
guma_9,,Default,simple,Гуми/Летни Гуми,base,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 5,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Лято</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: да</li>
<li>Индекс на Натоварване A: 100 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: B</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 45</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: да</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Ширина: 245 mm</li>
<li>Инчове: 18""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/136771"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/136771</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/gumi-kola.html"">кола</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",82.39,,,,guma-za-avtomobil-lanvigator-catchpower-plus-245-45zr18-5,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 5,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 5,Гума за Автомобил Lanvigator CATCHPOWER PLUS 245/45ZR18 5,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,/g/u/guma_1.jpg,,"7/18/23, 5:07 AM","7/23/23, 12:12 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_1.jpg,,,,,,,,,,,,,,
guma_10,,Default,simple,"Гуми,Гуми/Зимни гуми",base,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 5,,"<ul>
<li>Кола:
<ul>
<li>Камион</li>
<li>Кола</li>
</ul>
</li>
<li>Сезон: Зима</li>
<li>Ширина: 225 mm</li>
<li>броя: 1 броя</li>
<li>Скорост: Y - 300 km/h</li>
<li>Протектор на Джанта: Не</li>
<li>Индекс на Натоварване A: 96 Kg</li>
<li>Децибели: 71</li>
<li>Сцепление: A</li>
<li>Гума Против Пробиване: Не</li>
<li>Профил: 60</li>
<li>Характеристики: Без Камера</li>
<li>Кал и сняг: Не</li>
<li>Консумация: C</li>
<li>Лед: Не</li>
<li>Демонтиран: Не</li>
<li>Вълни: 2</li>
<li>Professional Off Road (POR): Не</li>
<li>3 Планински Върха (3MMSF): Не</li>
<li>Инчове: 15""</li>
<li>Не включва: Джанта</li>
</ul>
<p> </p>
<p><strong>Енергиен етикет (Eprel)</strong><br /><a href=""https://eprel.ec.europa.eu/screen/product/tyres/490955"" target=""_blank"" rel=""noopener"">https://eprel.ec.europa.eu/screen/product/tyres/490955</a></p>
<p><br /><br />Вземете BigBuy <strong>Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15</strong> и открийте голямо разнообразие от <a href=""https://www.bigbuy.eu/bg/chasti-i-rezervni-chasti-za-avtomobili.html"">части и резервни части за автомобили</a> на най-добра цена! Насладете се на предимствата, предлагани от дропшипинг и разширете каталога на продуктите на Вашата електронна търговия, без да мислите за запасите! </p>",12,1,Taxable Goods,"Catalog, Search",122.38,,,,guma-za-avtomobil-uniroyal-rainexpert-3-225-60yr15-5,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 5,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 5,Гума за Автомобил Uniroyal RAINEXPERT-3 225/60YR15 5,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,/g/u/guma_2.jpg,,"7/23/23, 12:40 AM","7/23/23, 12:42 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,4,1,12,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/u/guma_2.jpg,,,,,,,,,,,,,,
